customer_id,customer_name,customer_state,Sex,Age,Holding_Value,Open_Date
2.0,Robert Johnson,American Samoa,F,22.0,3558910.0,2014-01-14 10:45:14
3.0,Tracy Smith,Nebraska,F,47.0,573341.0,2003-05-08 19:21:38
4.0,Jerry Garcia,New York,M,29.0,7060981.0,2021-06-16 07:47:57
5.0,Cynthia Carroll,Kansas,F,46.0,2294988.0,2005-06-30 12:52:45
6.0,Amanda Hill,Minnesota,F,66.0,8358368.0,2010-04-13 10:25:47
7.0,David Taylor,Oklahoma,M,87.0,9264052.0,1998-11-09 21:53:26
8.0,Diana Brennan,Colorado,F,75.0,7828697.0,2010-09-22 09:39:37
9.0,Jeffrey Williams,New Mexico,M,41.0,8641727.0,2007-10-10 17:34:56
10.0,Amanda Sherman,North Dakota,F,31.0,2104087.0,2021-01-03 06:09:30
11.0,James Gamble,Florida,M,31.0,5536533.0,1995-04-01 09:03:04
12.0,Miranda Williams,Maine,M,35.0,9706964.0,1997-11-05 12:08:31
13.0,Wayne Yates,Vermont,F,38.0,6214726.0,2019-05-22 03:47:50
14.0,Robert Lewis,Alaska,F,28.0,8030641.0,1997-01-20 02:25:33
15.0,Stacey Tran,Maine,M,73.0,603966.0,2017-12-24 06:29:46
16.0,Julie Schmidt,Florida,F,36.0,2498647.0,2022-05-17 19:47:46
17.0,Trevor Rose,West Virginia,F,47.0,8422664.0,2023-08-24 15:15:20
18.0,Barbara Caldwell,Guam,M,87.0,3739745.0,1995-11-11 00:35:22
19.0,Shawn Ortiz,New Mexico,F,71.0,6420718.0,1999-10-16 17:43:07
20.0,Michael Briggs,Oregon,F,28.0,2144672.0,2023-09-03 12:55:46
21.0,Elizabeth Allen,American Samoa,M,40.0,4032389.0,2009-02-13 16:02:06
22.0,Emily Smith,Georgia,M,41.0,5062737.0,2017-12-03 22:37:48
23.0,Jeffrey Gibson DDS,Kansas,M,88.0,9555777.0,2002-05-18 22:23:31
24.0,Luis Myers,Georgia,F,44.0,7554912.0,2011-05-10 22:06:44
25.0,Samuel Hughes,Wyoming,F,48.0,7056850.0,2023-02-03 01:08:01
26.0,Dawn Graham DVM,Washington,M,40.0,7967000.0,2014-05-11 20:44:47
27.0,Benjamin Eaton,Illinois,M,23.0,3725494.0,1999-11-29 16:24:10
28.0,Loretta Walker,Delaware,M,73.0,537073.0,1999-01-22 23:56:09
29.0,Christina Schmidt,Guam,F,21.0,4825113.0,2006-07-15 21:33:35
30.0,Cynthia Rogers,Texas,F,43.0,5934181.0,2000-03-18 11:10:41
31.0,Cheyenne Taylor,Colorado,M,72.0,8287186.0,2007-02-11 04:44:12
32.0,Jodi Wilkins,Alaska,F,34.0,4149835.0,2005-08-08 08:41:16
33.0,Jennifer Williams,California,M,24.0,48652.0,2003-08-16 10:27:44
34.0,Steven Sanchez,Alaska,M,48.0,6485698.0,2009-07-13 17:26:27
35.0,Sara Day,District ,F,79.0,4855890.0,2010-09-21 16:32:28
36.0,Debra Davis,Nebraska,M,29.0,3452439.0,2016-07-19 18:42:31
37.0,Kristy Moore,Alabama,M,27.0,5430305.0,2018-10-22 19:08:37
38.0,Natalie Chang,New Mexico,F,22.0,5217166.0,2013-02-07 04:59:40
39.0,Jessica Parsons,New Jersey,M,47.0,3021936.0,2010-06-25 09:10:19
40.0,Daniel Oneill,Oregon,F,86.0,5152936.0,2021-04-01 22:12:38
41.0,Kathy Greene,Louisiana,M,71.0,9811951.0,2005-11-07 19:24:45
42.0,William Wallace,Idaho,F,42.0,9853912.0,2023-11-16 17:33:30
43.0,Shelia Morris,New Jersey,F,61.0,4254810.0,2020-01-21 05:38:38
44.0,Shawn Soto,Virgin Islands,M,39.0,4200540.0,2010-03-12 09:11:07
45.0,Rhonda Reed,Missouri,M,29.0,4058677.0,2002-12-12 21:40:37
46.0,Daniel Calderon,Delaware,M,30.0,6774229.0,2006-10-12 01:09:05
47.0,Krista Jackson,Hawaii,M,86.0,4405299.0,2018-12-16 03:03:00
48.0,Kaitlyn Miller,Virgin Islands,M,69.0,8881038.0,2018-06-25 10:44:23
49.0,Suzanne Jackson,Iowa,M,37.0,9615935.0,2010-06-29 21:36:41
50.0,Gregory Bailey,American Samoa,F,29.0,4174451.0,2018-08-26 20:05:55
51.0,Steven Mayer,Nevada,M,34.0,515545.0,1996-05-14 16:23:45
